{id: 1, x: -0.31257057, y: 0.984344, z: -1.2344127}
{id: 1, x: -0.37507248, y: 0.9999695, z: -1.2344127}
{id: 1, x: -0.28131962, y: 1.015595, z: -1.2031617}
▒▒▒▒▒V▒▒▒▒ζ▒▒▒▒▒▒▒V▒>(6.?86?>6> ~:0/1.2=007>?{id: 1, x: -0.32819605, y: 0.95309305, z: -1.2187872}
{id: 1, x: -0.34382153, y: 1.0312204, z: -1.2344127}
{id: 1, x: -0.31257057, y: 1.015595, z: -1.2812891}
{id: 1, x: -0.26569414, y: 0.984344, z: -1.2344127}
{id: 1, x: -0.359447, y: 1.0624714, z: -1.2344127}
{id: 1, x: -0.37507248, y: 1.015595, z: -1.2344127}
{id: 1, x: -0.39069796, y: 0.9999695, z: -1.2812891}
{id: 1, x: -0.359447, y: 0.9999695, z: -1.2656636}
{id: 1, x: -0.359447, y: 1.015595, z: -1.2344127}
{id: 1, x: -0.2969451, y: 1.0468459, z: -1.2031617}
{id: 1, x: -0.359447, y: 1.015595, z: -1.2969146}
{id: 1, x: -0.359447, y: 1.0468459, z: -1.2187872}
{id: 1, x: -0.37507248, y: 1.0624714, z: -1.2656636}
{id: 1, x: -0.359447, y: 1.0624714, z: -1.2187872}
{id: 1, x: -0.28131962, y: 0.9687185, z: -1.2344127}
{id: 1, x: -0.31257057, y: 1.015595, z: -1.2187872}
{id: 1, x: -0.39069796, y: 1.0624714, z: -1.31254}
{id: 1, x: -0.34382153, y: 1.015595, z: -1.2656636}
{id: 1, x: -0.34382153, y: 1.0780969, z: -1.2344127}
{id: 1, x: -0.37507248, y: 0.9999695, z: -1.2812891}
{id: 1, x: -0.359447, y: 1.015595, z: -1.2812891}
{id: 1, x: -0.32819605, y: 1.0312204, z: -1.2187872}
{id: 1, x: -0.31257057, y: 1.015595, z: -1.2500381}
{id: 1, x: -0.2969451, y: 1.0312204, z: -1.2344127}
{id: 1, x: -0.31257057, y: 1.015595, z: -1.2187872}
{id: 1, x: -0.39069796, y: 1.015595, z: -1.2656636}
